recipe,quantity,ingredient,measurement,veg/nonveg,rich in
Paneer masala,70,Paneer,g,veg,protein
Paneer masala,1,roasted gram flour,tbsp,veg,protein
Paneer masala,70,curd,g,veg,protein
Paneer masala,1,"Chillies, red",tsp,veg,protein
Paneer masala,0.5,Turmeric powder,tsp,veg,protein
Paneer masala,0.5,garam masala powder,tsp,veg,protein
Paneer masala,0.5,"Chillies, red powder",tsp,veg,protein
Paneer masala,1,oil or ghee,tsp,veg,protein
Green gram curry,100,curd,g,veg,protein
Green gram curry,30,sprouted green gram,g,veg,protein
Green gram curry,0.25,Coriander leaves(chopped),cup,veg,protein
Green gram curry,4,gram flour,tsp,veg,protein
Green gram curry,0.5,Turmeric powder,tsp,veg,protein
Green gram curry,1,Chillies red powder,tsp,veg,protein
Green gram curry,0.5,Mustard seeds,tsp,veg,protein
Green gram curry,0.5,Cumin seedS,tsp,veg,protein
Green gram curry,1,oil,tsp,veg,protein
Green gram curry,5,Curry leaves,no,veg,protein
Green gram curry,1,"Chillies, green - all varieties",no,veg,protein
Jowar soya dosa with sesame seed powder,1.5,"Soya bean, brown",tbsp,veg,protein
Jowar soya dosa with sesame seed powder,2, Jowar,tsp,veg,protein
Jowar soya dosa with sesame seed powder,2,split black gram,tsp,veg,protein
Jowar soya dosa with sesame seed powder,1,Fenugreek seeds,tsp,veg,protein
Jowar soya dosa with sesame seed powder,2, roasted bengal gram,tsp,veg,protein
Jowar soya dosa with sesame seed powder,2,sesame seeds,tsp,veg,protein
Jowar soya dosa with sesame seed powder,2,dry red seeds,no,veg,protein
Jowar soya dosa with sesame seed powder,1,stem curry leaves,no,veg,protein
Jowar soya dosa with sesame seed powder,2,split black gram,tsp,veg,protein
Jowar soya dosa with sesame seed powder,1,oil or ghee,tsp,veg,protein
